State,State Code,Insurance Company
California,CA,Adventist
California,CA,Aetna
California,CA,Aetna Atlantic Health
California,CA,Aetna National
California,CA,Affiliated Doctors of Orange County
California,CA,Affiliated Physicians Medical Group
California,CA,Affinity
California,CA,AKM MED GROUP
California,CA,Alameda Alliance for Health
California,CA,Alamitos IPA
California,CA,Alignment Healthcare
California,CA,Alignment Healthcare fka Citizens Choice Health Plan
California,CA,ALIGNMENT HLTH
California,CA,All Care Medical Group
California,CA,All Savers Health Plans
California,CA,Allegiance
California,CA,Alliance Desert Physicians
California,CA,Alliant Health
California,CA,Allied Health Benefits
California,CA,ALLIED PACIFIC
California,CA,ALLIED PHYS
California,CA,AllWays Health Partners
California,CA,"AlphaCare, Medicaid"
California,CA,Alta Bates Medical Group
California,CA,Alta LA Comm Hosp. Norwalk
California,CA,ALTAMED
California,CA,Alternative Insurance Resources
California,CA,Ambetter 
California,CA,AmeriBen
California,CA,America's Choice Provider Network
California,CA,American Healthcare Alliance
California,CA,American PPO
California,CA,AmeriHealth
California,CA,Ametros
California,CA,AMVI IMC GRP
California,CA,Anaheim Regional Medical Center
California,CA,Ancillary Care Services
California,CA,Angeles IPA
California,CA,Anthem BCBCS
California,CA,Anthem BCBS
California,CA,Anthem Blue Cross - California
California,CA,Anthem Blue Cross Blue Shield
California,CA,Anthem Medicaid
California,CA,Arcadian Health
California,CA,ARCADIAN MANAGM
California,CA,Arcbest Corporation
California,CA,ARTA HEALTH
California,CA,Aspire Health Plan
California,CA,ASSOC HISP PHYS
California,CA,ASURIS
California,CA,ATPA
California,CA,Atrio Health Plans
California,CA,AVALON IPA
California,CA,Avante Best Care IPA
California,CA,Axminster Medical Group
California,CA,Badger Care
California,CA,Bakersfield Family
California,CA,Bakersfield Medical Group
California,CA,BAKERY CONG UN
California,CA,BCE Emergis
California,CA,Beacon Health
California,CA,Beech Street
California,CA,Bella Vista Medical Group
California,CA,Benefit Administrative Systems
California,CA,Benefit Assistance Corp
California,CA,BEVERLY HOSP
California,CA,Blue Benefit Administrators
California,CA,Blue Cross Blue Shield
California,CA,Blue Cross Blue Shield of California - Promise Health Plan
California,CA,Blue Shield California
California,CA,BLUE SHIELD OF CA
California,CA,Bluegrass Family Health
California,CA,BMI Benefits LLC
California,CA,Boulder Admin
California,CA,Brand New Day
California,CA,BRMS
California,CA,Brookshire IPA
California,CA,BROWN & TOLAND
California,CA,Brown and Toland Medical Group
California,CA,Buckeye Community Health Plan
California,CA,CA FIELD IRON
California,CA,CA HOSP MED CNT
California,CA,CA MED CENTER
California,CA,CAL CARE IPA
California,CA,CAL NET
California,CA,Cal Viva Health
California,CA,CALFARM HEALTH
California,CA,California health and wellness
California,CA,California IPA
California,CA,CALOPTIMA
California,CA,Canopy Health Network
California,CA,CAPITOL ADMINIS
California,CA,Care1st Health Plan
California,CA,CareFirst BCBS
California,CA,Careington International
California,CA,Caresource
California,CA,CAREVALENT GILSBAR
California,CA,Carpenters Health & Welfare Fund
California,CA,CCPC
California,CA,CCS
California,CA,Cedar Valley Community Healthcare
California,CA,Cedar Valley Hospice - Transportation
California,CA,CEDARS
California,CA,Cedars-Sinai
California,CA,CEM MASONS HLTH
California,CA,CenCal Health
California,CA,CENCAL HLTH
California,CA,Centene 
California,CA,Centinela Valley IPA
California,CA,Central California Alliance
California,CA,Central California Alliance for Health
California,CA,Century Health Solutions
California,CA,Cerner Health Plan
California,CA,Chaffey Medical Group
California,CA,CHAMP VA
California,CA,Chino Valley Medical Center
California,CA,CHN Solutions
California,CA,Choice Care Network
California,CA,Choice Medical
California,CA,CHUBB
California,CA,Cigna
California,CA,CITRUS INS TRST
California,CA,CITRUS VALLEY
California,CA,CLAIMS CENTRAL
California,CA,ClearPrice Networks
California,CA,CLINICA MEDICA
California,CA,CMN Inc. Global
California,CA,CNA COMMERCIAL
California,CA,CNT CA ALLIANCE
